escenario,algoritmo,seed,n_viewpoints,mejor_distancia,tiempo_total,iteraciones,estado
2,ACO_MMAS,28,72,12.582834973931313,20.610574300168082,100,OK
2,ACO_MMAS,29,72,12.541147507727146,20.142968900036067,100,OK
2,ACO_MMAS,30,72,12.697906278073788,19.73518509999849,100,OK
2,ACO_ACS,1,72,11.482837699353695,2.046864900039509,100,OK
2,ACO_ACS,2,72,11.335838615894318,2.048064999980852,100,OK
2,ACO_ACS,3,72,11.373669475317001,2.116318699903786,100,OK
2,ACO_ACS,4,72,11.455371923744678,2.016693500103429,100,OK
2,ACO_ACS,5,72,11.56112565845251,2.0125045001041144,100,OK
2,ACO_ACS,6,72,11.436415009200573,2.105401000007987,100,OK
2,ACO_ACS,7,72,11.67420955747366,2.0016923998482525,100,OK
2,ACO_ACS,8,72,11.68834363669157,2.1711285000201315,100,OK
2,ACO_ACS,9,72,11.386482864618301,2.190263899974525,100,OK
2,ACO_ACS,10,72,11.370120622217655,2.179568500025198,100,OK
2,ACO_ACS,11,72,11.508093610405922,2.227615899872035,100,OK
2,ACO_ACS,12,72,11.411319486796856,2.209404200082645,100,OK
2,ACO_ACS,13,72,11.657035373151302,2.145026200218126,100,OK
2,ACO_ACS,14,72,11.445251815021038,2.226942799985409,100,OK
2,ACO_ACS,15,72,11.584749929606915,2.2482697998639196,100,OK
2,ACO_ACS,16,72,11.476888313889503,2.2097793000284582,100,OK
2,ACO_ACS,17,72,11.545654766261578,2.2924774999264628,100,OK
2,ACO_ACS,18,72,11.346279487013817,2.2049306000117213,100,OK
2,ACO_ACS,19,72,11.43987237662077,2.1403608999680728,100,OK
2,ACO_ACS,20,72,11.864143669605255,2.051644500112161,100,OK
2,ACO_ACS,21,72,11.470065042376518,2.2424890999682248,100,OK
2,ACO_ACS,22,72,11.441841222345829,2.184978700010106,100,OK
2,ACO_ACS,23,72,11.346279487013817,2.236227900022641,100,OK
2,ACO_ACS,24,72,11.37074612826109,2.217200200073421,100,OK
2,ACO_ACS,25,72,11.708958372473717,2.279256399953738,100,OK
2,ACO_ACS,26,72,11.422922872006893,2.1959615000523627,100,OK
2,ACO_ACS,27,72,11.48222902417183,2.2380264000967145,100,OK
2,ACO_ACS,28,72,11.513285800814629,2.161013700067997,100,OK
2,ACO_ACS,29,72,11.460629373788834,2.2715038000606,100,OK
2,ACO_ACS,30,72,11.512496918439865,2.1515291000250727,100,OK
2,SA,1,72,14.069220550358295,0.7091296000871807,2511,OK
2,SA,2,72,12.775378964841366,0.6714331998955458,2513,OK
2,SA,3,72,13.233741223812103,0.6929281998891383,2511,OK
